,LINE,LBDA_REST,name
0,OVI1032,1031.91,None
1,OVI1038,1037.61,Ovɪ
2,LYALPHA,1215.67,Lyα
3,NV1238,1238.82,None
4,NV1242,1242.8,NV
5,SiII1260,1260.42,Siɪɪ
6,OI1302,1302.17,Oɪ
7,SiII1304,1304.37,Siɪɪ
8,CII1334,1334.53,Cɪɪ
9,SiIV1394,1393.76,None
10,OIV1397,1397.23,Oɪᴠ
11,OIV1400,1399.78,None
12,SiIV1403,1402.77,Siɪv]
13,NIV1486,1486.5,Nɪv]
14,SiII1527,1526.71,Siɪɪ
15,CIV1548,1548.2,None
16,CIV1550,1550.77,Cɪᴠ
17,FeII1608,1608.45,None
18,FeII1611,1611.2,Feɪɪ
19,HeII1640,1640.42,Heɪɪ
20,OIII1660,1660.809,None
21,OIII1666,1666.15,Oɪɪɪ]
22,AlII1671,1670.79,Alɪɪ
23,NIII1750,1749.67,Nɪɪɪ]
24,AlIII1854,1854.1,None
25,AlIII1862,1862.17,Alɪɪɪ
26,SiIII1883,1882.71,None
27,SiIII1892,1892.03,Siɪɪɪ]
28,CIII1907,1906.68,None
29,CIII1909,1908.73,Cɪɪɪ]
30,CII2324,2325.4,None
31,CII2325,2326.11,Cɪɪ]
32,CII2326,2327.64,None
33,CII2328,2328.84,None
34,FeII2344,2344.21,None
35,FeII2374,2374.46,None
36,FeII2382,2382.76,Feɪɪ
37,NeIV2422,2421.83,None
38,NeIV2424,2424.42,Neɪᴠ
39,OII2470,2471.02,[Oɪɪ]
40,FeII2586,2586.65,None
41,FeII2600,2600.17,Feɪɪ
42,MgII2796,2796.35,None
43,MgII2803,2803.53,Mgɪɪ
44,MgI2853,2852.97,Mgɪ
45,NeV3426,3426.85,Neᴠ
46,OII3726,3727.09,None
47,OII3729,3729.88,[Oɪɪ]
48,H11,3771.7,H11
49,H10,3798.98,H10
50,H9,3836.47,H9
51,NeIII3869,3870.16,[Neɪɪɪ]
52,HeI3889,3889.73,None
53,H8,3890.15,H8
54,CaK,3933.66,None
55,CaH,3968.45,CaHK
56,NeIII3967,3968.91,None
57,HEPSILON,3971.2,Hε
58,HDELTA,4102.89,Hδ
59,CaG,4304.57,Gband
60,HGAMMA,4341.68,Hγ
61,OIII4363,4364.44,None
62,HBETA,4862.68,Hβ
63,OIII4959,4960.3,None
64,OIII5007,5008.24,[Oɪɪɪ]
65,MgB,5175.44,Mgb
66,HeI5876,5877.25,None
67,NaD,5891.94,NaD
68,OI6300,6302.05,[Oɪ]
69,NII6548,6549.85,None
70,HALPHA,6564.61,Hα
71,NII6584,6585.28,None
72,SII6717,6718.29,None
73,SII6731,6732.67,[Sɪɪ]
74,ARIII7135,7137.8,[Arɪɪɪ]
